Employee Name,Department,Attendance %,Projects Completed,Performance Score,Salary
Naina Kapoor,Finance,95.9,3,5,69500
Diya Bose,IT,86.5,6,4.7,78200
Abhishek Malhotra,Finance,88.9,14,5.5,86800
Naina Rao,Finance,89.5,7,6.5,83200
Kabir Shah,Operations,87.1,9,4.7,59700
Meera Verma,IT,82.7,8,4.6,79500
Aarav Verma,Operations,86,8,6.5,69800
Diya Mehta,HR,100,6,5.2,67600
Aditi Chopra,Marketing,74.6,14,6.2,84200
Rahul Malhotra,Operations,96.3,10,6.2,73400
Kavya Malhotra,Sales,78.7,4,5,71100
Harsh Joshi,HR,85.3,10,6,71700
Aarav Malhotra,HR,84.1,12,6.5,76100
Harsh Singh,Operations,79.9,7,4.7,76000
Isha Nair,Marketing,92.7,9,5.7,70400
Tanya Joshi,HR,94.8,2,4,75900
Kavya Bose,HR,85.9,10,6.3,75900
Rahul Desai,IT,92.9,7,4.2,78600
Simran Kulkarni,Finance,91.5,13,6.9,90100
Priya Bose,Finance,91.1,7,4.1,76600
Karan Singh,Operations,73.1,6,4.6,61000
Neha Pillai,HR,89.7,6,5.2,68000
Priya Pillai,Sales,93,9,5,62600
Aryan Iyer,IT,100,5,4.9,73500
Isha Chopra,Sales,79.4,11,5.2,67000
Harsh Malhotra,Sales,89.7,8,5.4,74100
Raj Gupta,Operations,88.3,5,4.9,63800
Tanvi Sharma,IT,94.3,8,4.9,79600
Maya Bose,Sales,81.5,9,6.1,68300
Arjun Iyer,Marketing,87.5,5,4.2,67700
Shreya Malhotra,IT,85.6,4,4.7,81800
Maya Pillai,Operations,90.4,11,5.2,76500
Simran Iyer,HR,83.1,9,5,66400
Priya Kapoor,Operations,87.7,3,5,58200
Harsh Sharma,Marketing,95.5,5,4.7,68200
Aarav Rao,IT,86.5,3,4.5,74100
Meera Malhotra,Finance,82.7,10,5.1,77500
Kabir Desai,Marketing,89.1,10,5.5,72700
Raj Nair,Finance,96,6,5.3,82100
Aditya Malhotra,Marketing,88.6,6,5.5,80200
Naina Verma,Operations,90.9,6,4.8,62100
Abhishek Iyer,Sales,83.9,7,4.1,68200
Rohan Kulkarni,HR,80.9,7,4.5,62200
Varun Bhat,Sales,86.2,5,5.5,73900
